id_funcionario,data_avaliacao,nota,comentario
31,2025-04-11,3,Precisa melhorar
32,2025-06-08,3,Regular
32,2025-09-26,5,Excelente
32,2025-08-18,2,Bom desempenho
33,2025-04-11,2,Excelente
33,2025-10-25,4,Regular
34,2024-02-23,4,Regular
34,2024-01-23,5,Regular
34,2024-09-22,4,Precisa melhorar
35,2022-01-27,1,Excelente
35,2025-08-15,4,Excelente
35,2024-09-16,3,Excelente
35,2022-01-18,2,Bom desempenho
36,2023-09-27,1,Precisa melhorar
36,2024-02-25,3,Bom desempenho
36,2024-06-15,1,Bom desempenho
36,2023-12-28,1,Regular
37,2024-08-28,1,Precisa melhorar
37,2025-09-06,3,Precisa melhorar
37,2025-06-04,2,Excelente
37,2024-08-08,2,Regular
38,2024-07-25,3,Bom desempenho
38,2024-12-18,4,Bom desempenho
38,2024-08-16,4,Regular
38,2024-11-05,3,Precisa melhorar
38,2025-06-07,3,Precisa melhorar
39,2025-02-13,3,Bom desempenho
39,2025-05-17,5,Bom desempenho
40,2024-03-12,3,Bom desempenho
40,2022-03-12,3,Excelente
40,2022-06-07,1,Bom desempenho
41,2025-03-21,4,Regular
41,2024-04-11,3,Regular
41,2025-10-20,2,Regular
42,2024-06-15,3,Excelente
42,2025-10-11,1,Regular
42,2025-02-09,5,Bom desempenho
42,2024-04-20,2,Bom desempenho
42,2025-05-12,5,Precisa melhorar
43,2025-08-04,5,Precisa melhorar
43,2023-11-14,1,Regular
43,2024-02-19,3,Bom desempenho
43,2024-02-21,2,Regular
43,2024-12-11,1,Regular
44,2024-05-19,2,Precisa melhorar
44,2023-09-18,4,Regular
44,2024-09-28,1,Precisa melhorar
45,2023-08-30,3,Regular
45,2023-08-29,2,Precisa melhorar
45,2024-07-11,1,Precisa melhorar
46,2024-07-12,5,Precisa melhorar
46,2024-03-04,5,Bom desempenho
46,2024-07-01,1,Excelente
46,2025-05-31,1,Regular
47,2022-07-10,1,Excelente
47,2025-05-11,4,Excelente
47,2022-09-07,2,Excelente
48,2025-10-24,5,Precisa melhorar
48,2025-10-25,4,Regular
48,2025-10-17,1,Regular
48,2025-10-22,4,Precisa melhorar
49,2024-07-11,4,Regular
49,2022-02-06,3,Precisa melhorar
49,2022-10-20,2,Regular
49,2024-04-22,3,Bom desempenho
49,2021-09-12,2,Precisa melhorar
50,2024-03-24,5,Excelente
50,2021-10-07,2,Excelente
50,2023-06-22,2,Excelente
50,2022-08-26,1,Bom desempenho
50,2022-10-15,3,Bom desempenho
51,2024-02-12,1,Regular
51,2024-03-17,5,Regular
51,2025-03-06,5,Regular
51,2023-10-21,4,Excelente
51,2023-09-08,1,Bom desempenho
52,2025-03-05,4,Excelente
52,2025-02-22,4,Regular
52,2025-03-30,3,Precisa melhorar
52,2025-01-12,2,Bom desempenho
52,2024-07-30,4,Regular
53,2025-05-14,4,Regular
53,2025-02-14,1,Bom desempenho
54,2025-08-31,1,Precisa melhorar
54,2025-06-08,2,Excelente
54,2025-06-16,2,Precisa melhorar
54,2025-08-17,3,Bom desempenho
54,2025-10-17,3,Regular
55,2024-10-05,1,Precisa melhorar
55,2024-10-17,1,Precisa melhorar
55,2024-02-01,5,Regular
56,2023-01-22,1,Regular
56,2024-01-07,2,Precisa melhorar
56,2025-06-28,3,Precisa melhorar
56,2023-09-04,4,Regular
57,2022-04-21,1,Precisa melhorar
57,2024-04-08,2,Precisa melhorar
58,2025-06-24,2,Precisa melhorar
58,2025-04-24,5,Excelente
58,2025-07-06,2,Precisa melhorar
58,2025-03-13,5,Bom desempenho
59,2025-08-04,5,Regular
59,2024-12-17,2,Regular
59,2024-12-09,2,Excelente
59,2025-04-08,4,Bom desempenho
59,2025-02-20,5,Precisa melhorar
60,2024-11-08,1,Bom desempenho
60,2025-02-15,1,Bom desempenho
61,2025-06-03,4,Excelente
61,2025-08-26,3,Excelente
62,2024-08-24,4,Excelente
62,2025-06-29,4,Excelente
62,2025-09-05,1,Excelente
62,2025-01-30,2,Precisa melhorar
62,2024-09-03,5,Regular
63,2023-04-01,4,Bom desempenho
63,2025-05-27,4,Excelente
63,2023-04-03,3,Regular
63,2024-07-12,4,Precisa melhorar
63,2024-03-16,3,Precisa melhorar
64,2025-10-05,3,Precisa melhorar
64,2025-06-13,4,Regular
65,2023-09-13,4,Bom desempenho
65,2023-11-02,2,Regular
65,2024-06-01,1,Bom desempenho
66,2025-07-04,3,Precisa melhorar
66,2025-08-30,1,Regular
66,2025-07-26,2,Bom desempenho
67,2024-04-11,1,Bom desempenho
67,2024-08-06,1,Regular
67,2022-04-07,1,Bom desempenho
68,2025-09-22,3,Excelente
68,2025-10-09,4,Precisa melhorar
68,2025-08-10,3,Regular
68,2025-09-14,4,Bom desempenho
68,2025-09-26,4,Precisa melhorar
69,2024-04-29,2,Bom desempenho
69,2025-04-16,5,Regular
69,2023-07-28,4,Regular
70,2024-03-01,5,Precisa melhorar
70,2025-06-26,5,Precisa melhorar
71,2025-04-29,2,Bom desempenho
71,2022-05-06,1,Regular
71,2021-12-19,2,Regular
71,2022-11-22,2,Excelente
71,2024-04-04,2,Excelente
72,2025-06-04,1,Bom desempenho
72,2024-06-22,3,Excelente
72,2023-04-13,2,Excelente
72,2023-07-20,2,Bom desempenho
72,2024-03-29,2,Excelente
73,2025-03-17,4,Regular
73,2024-05-16,2,Regular
73,2024-10-21,3,Precisa melhorar
74,2023-11-05,4,Excelente
74,2025-10-25,1,Excelente
74,2024-08-05,2,Excelente
74,2025-09-30,4,Bom desempenho
75,2025-10-27,5,Excelente
75,2025-10-26,5,Precisa melhorar
75,2025-10-25,2,Precisa melhorar
75,2025-10-25,2,Excelente
75,2025-10-27,5,Bom desempenho
76,2025-09-08,1,Regular
76,2021-08-19,1,Excelente
76,2025-08-11,4,Precisa melhorar
76,2022-05-29,3,Excelente
76,2025-08-11,1,Excelente
77,2025-06-09,2,Regular
77,2025-05-28,5,Regular
77,2025-08-21,5,Excelente
77,2025-07-14,5,Regular
78,2024-10-19,2,Regular
78,2024-12-16,3,Excelente
78,2024-09-24,1,Precisa melhorar
78,2023-08-22,4,Bom desempenho
79,2024-11-09,5,Precisa melhorar
79,2024-10-18,1,Regular
79,2024-07-11,2,Regular
79,2024-08-08,5,Bom desempenho
80,2024-01-26,3,Excelente
80,2024-10-17,3,Regular
80,2024-04-09,5,Excelente
80,2025-03-23,1,Regular
81,2024-04-12,5,Excelente
81,2022-12-10,1,Bom desempenho
81,2024-12-24,1,Regular
81,2025-10-05,2,Regular
82,2025-05-03,2,Precisa melhorar
82,2024-08-17,4,Precisa melhorar
82,2021-06-17,1,Excelente
82,2023-02-01,1,Bom desempenho
82,2021-09-26,5,Precisa melhorar
83,2025-10-26,2,Excelente
83,2024-12-15,5,Excelente
83,2025-08-08,3,Regular
83,2025-05-12,4,Excelente
83,2024-12-14,2,Bom desempenho
84,2023-07-13,1,Excelente
84,2023-11-12,4,Regular
85,2024-07-04,3,Bom desempenho
85,2023-08-06,1,Regular
85,2025-02-05,2,Regular
85,2025-09-09,5,Regular
86,2025-05-25,5,Regular
86,2024-11-24,4,Excelente
87,2024-03-28,3,Excelente
87,2025-04-04,1,Regular
87,2024-08-12,2,Regular
88,2024-01-25,4,Excelente
88,2023-10-22,2,Regular
88,2023-07-07,4,Regular
89,2022-01-26,4,Bom desempenho
89,2024-11-26,3,Precisa melhorar
89,2024-01-23,1,Regular
90,2025-10-21,5,Excelente
90,2024-10-27,4,Precisa melhorar
90,2023-03-13,3,Regular
90,2024-11-23,1,Bom desempenho
90,2023-10-01,1,Bom desempenho
91,2024-07-06,3,Regular
91,2025-04-25,3,Regular
92,2025-01-25,3,Regular
92,2024-12-29,3,Precisa melhorar
93,2025-07-10,5,Precisa melhorar
93,2025-07-19,1,Precisa melhorar
94,2023-12-05,1,Regular
94,2025-03-17,1,Bom desempenho
94,2025-06-28,1,Excelente
95,2025-02-08,4,Excelente
95,2024-05-10,3,Excelente
96,2025-02-22,1,Excelente
96,2022-07-09,4,Bom desempenho
96,2023-01-17,1,Precisa melhorar
96,2022-10-02,4,Bom desempenho
96,2022-07-31,2,Regular
97,2025-02-04,3,Excelente
97,2025-05-21,3,Excelente
97,2024-08-04,3,Regular
97,2024-06-18,1,Regular
98,2024-07-04,3,Precisa melhorar
98,2025-07-30,3,Excelente
99,2023-06-03,4,Regular
99,2022-09-01,2,Bom desempenho
99,2024-12-28,1,Bom desempenho
99,2021-02-04,2,Excelente
100,2025-09-09,3,Excelente
100,2025-01-17,4,Excelente
100,2025-08-19,3,Bom desempenho
100,2024-11-23,3,Bom desempenho
100,2024-03-21,1,Precisa melhorar
101,2024-06-17,4,Bom desempenho
101,2025-04-08,1,Excelente
101,2025-01-07,5,Regular
102,2024-10-13,5,Excelente
102,2024-08-25,1,Bom desempenho
102,2025-08-04,5,Excelente
102,2024-04-14,3,Excelente
103,2025-09-29,3,Excelente
103,2025-05-10,4,Bom desempenho
103,2025-08-15,3,Bom desempenho
103,2025-07-10,1,Precisa melhorar
103,2025-02-19,1,Bom desempenho
104,2025-09-10,3,Bom desempenho
104,2025-09-04,5,Excelente
104,2025-02-07,1,Excelente
104,2024-04-30,3,Regular
104,2025-01-20,1,Regular
105,2022-03-27,2,Excelente
105,2025-01-14,1,Excelente
105,2023-12-27,3,Bom desempenho
106,2024-10-08,5,Regular
106,2024-09-14,3,Precisa melhorar
106,2024-01-17,4,Precisa melhorar
107,2024-09-10,1,Regular
107,2022-07-05,3,Excelente
107,2024-11-04,1,Excelente
108,2023-05-28,4,Regular
108,2024-11-05,5,Bom desempenho
109,2023-06-27,3,Excelente
109,2024-01-06,3,Precisa melhorar
110,2024-01-24,2,Bom desempenho
110,2025-08-23,5,Bom desempenho
110,2022-10-01,2,Excelente
110,2025-06-24,4,Precisa melhorar
111,2024-01-11,3,Regular
111,2024-07-20,5,Bom desempenho
111,2024-12-28,4,Regular
112,2025-10-21,1,Regular
112,2025-09-18,1,Bom desempenho
112,2025-09-26,4,Bom desempenho
112,2025-09-22,4,Regular
112,2025-10-22,3,Regular
113,2025-05-27,5,Regular
113,2024-11-25,3,Excelente
113,2024-12-23,4,Precisa melhorar
113,2025-07-24,4,Bom desempenho
113,2024-11-21,2,Excelente
114,2023-07-07,2,Regular
114,2025-09-16,4,Excelente
115,2025-10-21,2,Bom desempenho
115,2021-10-22,2,Precisa melhorar
115,2024-02-10,5,Excelente
115,2023-06-16,2,Precisa melhorar
116,2022-12-17,4,Regular
116,2022-03-21,3,Bom desempenho
116,2024-06-25,3,Precisa melhorar
116,2022-05-18,4,Bom desempenho
116,2024-08-18,2,Excelente
117,2025-08-31,5,Precisa melhorar
117,2025-09-02,5,Bom desempenho
117,2025-10-19,5,Bom desempenho
118,2024-07-17,2,Regular
118,2024-01-17,1,Precisa melhorar
119,2024-07-13,3,Regular
119,2022-06-19,4,Excelente
119,2023-05-15,3,Precisa melhorar
119,2023-09-28,5,Precisa melhorar
119,2022-12-01,1,Excelente
120,2025-06-23,5,Precisa melhorar
120,2025-05-29,3,Regular
120,2025-05-16,3,Regular
121,2024-11-24,4,Excelente
121,2024-05-18,3,Excelente
121,2025-07-02,2,Regular
121,2025-05-16,2,Regular
122,2025-07-04,5,Precisa melhorar
122,2025-10-16,1,Precisa melhorar
122,2025-02-22,5,Excelente
123,2025-05-05,4,Precisa melhorar
123,2025-10-02,4,Regular
123,2025-06-03,5,Excelente
124,2021-06-18,1,Precisa melhorar
124,2021-09-22,1,Excelente
124,2024-09-25,5,Precisa melhorar
124,2024-02-03,1,Regular
125,2025-10-26,2,Precisa melhorar
125,2025-03-22,1,Excelente
126,2025-09-21,4,Regular
126,2024-05-01,3,Precisa melhorar
126,2024-04-29,2,Bom desempenho
127,2024-12-08,3,Regular
127,2024-11-04,1,Precisa melhorar
127,2025-01-17,4,Excelente
128,2024-01-19,1,Excelente
128,2023-06-09,5,Bom desempenho
128,2025-02-15,2,Precisa melhorar
128,2023-04-21,2,Precisa melhorar
128,2024-07-27,3,Bom desempenho
129,2025-10-28,5,Precisa melhorar
129,2025-09-26,4,Bom desempenho
129,2025-07-25,4,Regular
129,2025-08-03,2,Precisa melhorar
129,2025-07-09,5,Bom desempenho
130,2025-04-01,2,Excelente
130,2025-03-10,4,Regular
130,2025-06-26,2,Excelente
131,2023-03-12,1,Bom desempenho
131,2021-11-24,3,Regular
132,2025-02-17,1,Precisa melhorar
132,2024-04-06,5,Precisa melhorar
132,2025-05-20,2,Bom desempenho
132,2024-12-17,4,Excelente
133,2024-11-03,4,Excelente
133,2024-02-09,2,Bom desempenho
133,2024-04-22,5,Bom desempenho
133,2025-06-11,3,Excelente
134,2025-04-07,3,Excelente
134,2025-05-14,3,Precisa melhorar
134,2024-12-23,2,Regular
134,2025-03-13,5,Bom desempenho
135,2024-10-22,4,Precisa melhorar
135,2023-12-04,1,Regular
135,2025-03-30,4,Excelente
136,2024-09-14,2,Bom desempenho
136,2025-01-02,2,Precisa melhorar
136,2024-11-08,1,Regular
136,2024-09-02,1,Bom desempenho
137,2023-06-02,2,Precisa melhorar
137,2025-08-24,1,Regular
137,2024-02-29,5,Regular
138,2024-08-09,4,Precisa melhorar
138,2025-06-16,4,Precisa melhorar
138,2025-08-01,3,Bom desempenho
138,2024-12-25,2,Excelente
138,2025-07-12,1,Bom desempenho
139,2024-09-24,1,Excelente
139,2025-03-30,2,Regular
139,2024-12-29,4,Excelente
140,2023-07-11,4,Bom desempenho
140,2022-01-01,1,Excelente
140,2021-06-17,3,Precisa melhorar
140,2024-02-07,2,Precisa melhorar
141,2025-08-06,5,Bom desempenho
141,2025-06-05,1,Regular
142,2024-01-18,4,Regular
142,2023-01-10,4,Precisa melhorar
143,2023-02-06,4,Excelente
143,2022-10-15,3,Bom desempenho
143,2023-10-01,3,Regular
143,2023-12-11,5,Bom desempenho
143,2023-01-14,1,Regular
144,2025-10-25,3,Regular
144,2024-08-31,2,Bom desempenho
144,2025-04-25,5,Excelente
144,2024-09-29,5,Precisa melhorar
144,2025-08-10,3,Bom desempenho
145,2025-08-16,4,Precisa melhorar
145,2024-07-23,1,Regular
145,2025-01-17,2,Excelente
145,2022-11-12,1,Regular
146,2024-05-13,1,Bom desempenho
146,2025-01-29,5,Precisa melhorar
146,2025-06-26,2,Precisa melhorar
146,2024-04-10,1,Regular
147,2021-08-10,5,Regular
147,2025-10-18,3,Precisa melhorar
148,2025-10-28,1,Regular
148,2025-10-05,3,Excelente
148,2025-08-24,5,Bom desempenho
148,2025-09-17,4,Excelente
148,2025-09-15,3,Regular
149,2025-03-08,2,Bom desempenho
149,2024-09-24,3,Regular
149,2024-01-03,4,Bom desempenho
149,2024-09-07,3,Excelente
150,2024-08-12,2,Bom desempenho
150,2025-04-30,2,Precisa melhorar
151,2025-10-12,4,Regular
151,2025-09-12,4,Excelente
152,2025-03-31,5,Bom desempenho
152,2022-03-25,4,Excelente
153,2025-08-25,2,Precisa melhorar
153,2025-10-21,4,Bom desempenho
153,2025-09-10,2,Regular
153,2025-10-13,5,Regular
153,2025-10-04,4,Excelente
154,2025-09-14,1,Regular
154,2025-10-26,3,Bom desempenho
154,2025-08-28,5,Excelente
154,2025-09-18,4,Excelente
155,2025-05-12,3,Bom desempenho
155,2025-01-30,5,Regular
155,2025-07-11,5,Excelente
155,2023-09-17,5,Bom desempenho
156,2025-07-09,3,Precisa melhorar
156,2025-09-04,2,Bom desempenho
156,2025-07-23,1,Bom desempenho
157,2025-01-29,2,Bom desempenho
157,2023-12-07,3,Bom desempenho
157,2024-05-22,4,Excelente
157,2023-07-11,4,Bom desempenho
157,2025-01-23,3,Excelente
158,2025-08-27,1,Precisa melhorar
158,2024-07-01,1,Precisa melhorar
158,2024-12-11,2,Excelente
158,2022-07-09,3,Precisa melhorar
159,2022-03-11,2,Bom desempenho
159,2021-11-28,2,Excelente
159,2024-08-30,2,Excelente
159,2022-04-06,3,Excelente
159,2021-09-02,5,Bom desempenho
160,2025-10-25,4,Bom desempenho
160,2025-09-16,3,Precisa melhorar
161,2023-10-02,1,Excelente
161,2023-07-31,1,Precisa melhorar
161,2023-10-06,3,Precisa melhorar
161,2023-05-29,3,Bom desempenho
162,2025-05-09,5,Bom desempenho
162,2025-07-19,3,Regular
162,2025-01-12,3,Excelente
162,2025-09-05,1,Excelente
162,2025-07-04,1,Bom desempenho
163,2022-11-11,3,Regular
163,2022-12-04,1,Regular
163,2025-09-13,4,Regular
163,2021-10-29,5,Excelente
164,2025-10-03,1,Excelente
164,2025-05-17,2,Excelente
164,2025-08-13,2,Bom desempenho
164,2025-05-26,2,Precisa melhorar
165,2025-08-24,4,Regular
165,2024-07-07,3,Bom desempenho
166,2025-01-09,2,Excelente
166,2025-02-04,3,Regular
166,2025-07-23,5,Bom desempenho
166,2024-08-31,4,Regular
167,2023-01-31,5,Precisa melhorar
167,2025-04-02,5,Precisa melhorar
167,2021-08-15,1,Excelente
167,2023-07-21,1,Excelente
167,2022-10-13,3,Precisa melhorar
168,2025-10-03,3,Regular
168,2025-10-08,4,Regular
168,2025-10-01,3,Bom desempenho
169,2025-10-20,5,Bom desempenho
169,2025-08-27,4,Precisa melhorar
170,2025-05-05,1,Regular
170,2025-03-13,3,Regular
171,2024-01-06,1,Bom desempenho
171,2024-05-17,4,Precisa melhorar
171,2024-08-13,3,Bom desempenho
172,2025-06-22,5,Excelente
172,2025-08-02,5,Excelente
173,2025-06-20,2,Excelente
173,2025-07-10,2,Regular
173,2025-09-26,5,Regular
174,2025-01-28,3,Excelente
174,2023-10-30,1,Regular
175,2022-05-28,1,Bom desempenho
175,2022-07-03,2,Excelente
175,2025-01-29,3,Bom desempenho
175,2022-07-10,4,Regular
176,2025-10-24,2,Regular
176,2025-10-17,3,Excelente
176,2025-10-24,3,Excelente
176,2025-10-22,3,Regular
177,2025-07-06,2,Bom desempenho
177,2025-05-16,4,Regular
178,2024-08-15,5,Bom desempenho
178,2024-06-10,4,Excelente
178,2024-12-12,1,Bom desempenho
178,2025-01-16,1,Regular
179,2025-07-23,1,Precisa melhorar
179,2025-08-23,4,Bom desempenho
179,2025-08-17,5,Bom desempenho
180,2025-05-01,3,Bom desempenho
180,2025-02-27,3,Bom desempenho
180,2025-06-19,4,Precisa melhorar
180,2025-07-09,4,Bom desempenho
181,2025-02-22,1,Bom desempenho
181,2025-07-29,3,Bom desempenho
182,2024-11-10,5,Bom desempenho
182,2024-11-11,3,Regular
182,2025-07-14,1,Bom desempenho
183,2024-07-03,2,Regular
183,2024-05-04,4,Regular
183,2024-12-29,2,Precisa melhorar
184,2025-10-28,5,Excelente
184,2025-10-27,1,Bom desempenho
184,2025-10-27,3,Bom desempenho
184,2025-10-26,1,Regular
185,2024-03-08,5,Precisa melhorar
185,2024-05-07,2,Precisa melhorar
185,2024-01-13,4,Bom desempenho
186,2024-09-04,1,Regular
186,2023-11-02,1,Bom desempenho
186,2024-09-10,4,Regular
186,2024-08-29,2,Precisa melhorar
186,2024-07-18,4,Regular
187,2023-09-23,3,Excelente
187,2025-04-28,2,Precisa melhorar
187,2021-10-11,4,Precisa melhorar
187,2023-01-09,1,Regular
187,2024-06-19,1,Excelente
188,2025-03-05,5,Precisa melhorar
188,2025-05-14,2,Bom desempenho
188,2025-10-28,5,Bom desempenho
189,2022-08-14,2,Excelente
189,2024-02-08,2,Bom desempenho
190,2024-12-13,5,Regular
190,2023-08-24,4,Precisa melhorar
190,2024-09-03,3,Precisa melhorar
190,2025-08-03,1,Excelente
190,2022-08-17,4,Excelente
191,2024-05-12,2,Precisa melhorar
191,2024-08-31,4,Precisa melhorar
191,2025-08-29,3,Regular
191,2024-10-03,2,Precisa melhorar
192,2023-07-06,1,Bom desempenho
192,2024-03-28,3,Regular
192,2024-06-15,5,Precisa melhorar
192,2024-08-12,2,Regular
192,2025-01-25,5,Excelente
193,2024-10-17,3,Excelente
193,2025-06-26,1,Regular
193,2023-04-06,1,Regular
193,2025-08-16,3,Bom desempenho
193,2023-06-23,1,Precisa melhorar
194,2024-01-28,1,Bom desempenho
194,2023-12-01,2,Excelente
195,2023-08-24,1,Bom desempenho
195,2025-05-02,4,Bom desempenho
195,2024-10-13,2,Bom desempenho
195,2024-05-09,5,Bom desempenho
195,2024-09-07,3,Bom desempenho
196,2025-10-11,5,Excelente
196,2025-03-17,1,Precisa melhorar
196,2025-02-03,5,Regular
197,2022-06-07,4,Bom desempenho
197,2024-09-13,3,Precisa melhorar
198,2025-01-17,5,Regular
198,2025-09-19,4,Regular
198,2024-02-14,2,Excelente
198,2023-08-11,5,Precisa melhorar
198,2023-09-09,5,Precisa melhorar
199,2024-03-25,2,Bom desempenho
199,2025-10-23,4,Precisa melhorar
199,2024-06-29,4,Precisa melhorar
199,2023-10-26,1,Excelente
200,2025-02-21,5,Precisa melhorar
200,2024-10-12,2,Precisa melhorar
201,2022-04-13,3,Bom desempenho
201,2022-07-28,3,Precisa melhorar
201,2022-03-13,4,Precisa melhorar
201,2024-07-10,4,Regular
202,2024-07-23,1,Excelente
202,2025-01-06,5,Bom desempenho
203,2025-06-04,1,Bom desempenho
203,2024-06-12,2,Bom desempenho
203,2025-04-01,1,Regular
203,2024-07-22,4,Regular
204,2024-11-22,2,Bom desempenho
204,2025-07-26,4,Regular
204,2025-09-25,2,Bom desempenho
205,2024-08-19,2,Precisa melhorar
205,2025-06-24,3,Bom desempenho
205,2021-09-20,2,Bom desempenho
205,2021-10-01,1,Bom desempenho
206,2025-10-27,1,Bom desempenho
206,2025-10-28,1,Regular
207,2025-03-19,4,Precisa melhorar
207,2025-10-26,1,Excelente
207,2025-09-02,1,Bom desempenho
207,2025-07-22,1,Excelente
207,2025-07-03,1,Regular
208,2024-05-28,2,Regular
208,2025-07-19,4,Excelente
208,2024-07-02,2,Excelente
208,2025-04-19,3,Regular
209,2025-04-04,2,Precisa melhorar
209,2025-08-18,3,Precisa melhorar
210,2025-03-11,5,Bom desempenho
210,2022-11-11,1,Precisa melhorar
210,2021-11-24,2,Excelente
210,2022-07-28,1,Regular
211,2022-05-28,1,Bom desempenho
211,2021-05-05,1,Excelente
212,2024-06-23,1,Precisa melhorar
212,2024-11-26,4,Regular
212,2022-10-21,4,Excelente
212,2023-01-13,5,Bom desempenho
213,2025-08-03,4,Excelente
213,2023-11-22,3,Regular
213,2025-01-22,2,Regular
213,2025-04-04,5,Regular
213,2023-04-17,2,Regular
214,2025-09-17,2,Excelente
214,2024-10-05,1,Precisa melhorar
214,2024-01-15,5,Bom desempenho
214,2024-11-04,4,Bom desempenho
215,2024-10-28,5,Precisa melhorar
215,2024-05-12,3,Excelente
216,2022-03-22,3,Bom desempenho
216,2024-09-20,3,Excelente
216,2025-07-22,2,Excelente
216,2025-09-20,3,Excelente
217,2023-03-05,4,Precisa melhorar
217,2022-07-27,3,Bom desempenho
217,2024-05-07,2,Bom desempenho
217,2025-06-26,4,Precisa melhorar
218,2023-02-10,3,Bom desempenho
218,2023-09-13,1,Regular
218,2023-02-04,2,Precisa melhorar
219,2024-07-24,2,Excelente
219,2025-01-25,4,Bom desempenho
219,2025-04-15,1,Precisa melhorar
219,2022-12-23,4,Regular
220,2024-06-10,5,Bom desempenho
220,2024-10-20,4,Precisa melhorar
220,2024-06-15,1,Precisa melhorar
221,2023-01-17,4,Bom desempenho
221,2024-11-24,3,Bom desempenho
221,2022-04-11,3,Precisa melhorar
221,2022-09-28,1,Precisa melhorar
222,2023-11-09,1,Bom desempenho
222,2023-07-14,1,Excelente
222,2024-05-12,5,Excelente
222,2023-03-18,4,Regular
222,2023-10-22,5,Bom desempenho
223,2024-12-12,3,Bom desempenho
223,2024-12-13,5,Precisa melhorar
223,2025-06-07,1,Excelente
